title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,studio,domestic_gross,year,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western
The Legend of Hercules,The Legend of Hercules,2014-01-01,99.0,"Action,Adventure,Fantasy",4.2,50352,LG/S,18800000.0,2014-01-01,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Baggage Claim,Baggage Claim,2013-01-01,96.0,Comedy,5.1,8296,FoxS,21600000.0,2013-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moneyball,Moneyball,2011-01-01,133.0,"Biography,Drama,Sport",7.6,326657,Sony,75600000.0,2011-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hereafter,Hereafter,2010-01-01,129.0,"Drama,Fantasy,Romance",6.5,87288,WB,32700000.0,2010-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Mission: Impossible - Ghost Protocol,Mission: Impossible - Ghost Protocol,2011-01-01,132.0,"Action,Adventure,Thriller",7.4,428142,Par.,209400000.0,2011-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21 Jump Street,21 Jump Street,2012-01-01,109.0,"Action,Comedy,Crime",7.2,477771,Sony,138400000.0,2012-01-01,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aloha,Aloha,2015-01-01,105.0,"Comedy,Drama,Romance",5.4,54646,Sony,21100000.0,2015-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sex and the City 2,Sex and the City 2,2010-01-01,146.0,"Comedy,Drama,Romance",4.4,69199,WB (NL),95300000.0,2010-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Don't Be Afraid of the Dark,Don't Be Afraid of the Dark,2010-01-01,99.0,"Fantasy,Horror,Thriller",5.6,44490,FD,24000000.0,2011-01-01,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Burke and Hare,Burke and Hare,2010-01-01,91.0,"Comedy,Crime,History",6.2,18431,IFC,4800.0,2011-01-01,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Going the Distance,Going the Distance,2010-01-01,102.0,"Comedy,Romance",6.3,54421,WB (NL),17800000.0,2010-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Remember Me,Remember Me,2010-01-01,113.0,"Drama,Romance",7.1,129443,Sum.,19100000.0,2010-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
